Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
Bitcoin USD,"30,543.31",-276.77,593.404B,14.039B,593.404B
Ethereum USD,"1,882.56",-9.3,226.297B,5.858B,226.297B
Tether USD,1.0003,0.0003,83.405B,19.894B,83.405B
BNB USD,245.74,-2.02,38.298B,452.364M,38.298B
USD Coin USD,0.999937,-0.000097,27.218B,2.895B,27.218B
XRP USD,0.473282,-0.00103,24.868B,711.84M,24.868B
Lido Staked ETH USD,"1,872.36",-16.05,14.37B,21.786M,14.37B
Cardano USD,0.28858,-0.004921,10.092B,161.071M,10.092B
Dogecoin USD,0.065215,-0.000205,9.14B,175.182M,9.14B
Solana USD,22.3,-0.2,8.983B,539.581M,8.983B
Wrapped TRON USD,0.077909,-0.00004,7.921B,"218,322",7.921B
Litecoin USD,100.18,3.08,7.348B,758.702M,7.348B
Polygon USD,0.767118,0.026875,7.149B,451.846M,7.149B
TRON USD,0.078078,0.000078,7.012B,129.121M,7.012B
Polkadot USD,5.2314,-0.0275,6.3B,98.968M,6.3B
Bitcoin Cash USD,284.43,-3.79,5.532B,596.13M,5.532B
Wrapped Bitcoin USD,"30,512.34",84.74,4.819B,100.113M,4.819B
Dai USD,0.999575,-0.000296,4.653B,69.017M,4.653B
Toncoin USD,1.3295,-0.0135,4.563B,6.665M,4.563B
Avalanche USD,13.18,-0.12,4.56B,110.911M,4.56B
Shiba Inu USD,0.00000751,-0.00000004,4.426B,74.133M,4.426B
FantasyGold USD,30.34,0.26,4.238B,21,4.238B
Binance USD USD,1,-0.0003,3.988B,1.936B,3.988B
UNUS SED LEO USD,4.0476,-0.0479,3.764B,1.015M,3.764B
Chainlink USD,6.4232,0.1523,3.456B,154.544M,3.456B
Cosmos USD,9.1434,-0.0755,3.169B,66.411M,3.169B
Uniswap USD,5.335,-0.0179,3.081B,51.821M,3.081B
Monero USD,163.38,-1.3,2.991B,62.784M,2.991B
TrueUSD USD,0.999669,-0.000331,2.844B,2.109B,2.844B
Ethereum Classic USD,19.02,-0.05,2.7B,117.692M,2.7B
Stellar USD,0.096876,-0.000657,2.622B,37.802M,2.622B
OKB USD,43.11,-0.23,2.586B,1.165M,2.586B
Cryptonex USD,22.49,-0.3,2.416B,2.334M,2.416B
Filecoin USD,4.2383,-0.0828,1.843B,81.33M,1.843B
Internet Computer USD,4.175,-0.0162,1.83B,14.083M,1.83B
HEX USD,0.010169,0.001251,1.763B,2.803M,1.763B
Lido DAO USD,1.8973,-0.0236,1.667B,17.715M,1.667B
Bitcoin BEP2 USD,"30,515.71",-331.4,1.642B,18.742M,1.642B
Wrapped Kava USD,3.1922,1.5403,1.589B,"9,031",1.589B
Hedera USD,0.048276,-0.000514,1.559B,17.216M,1.559B
Wrapped HBAR USD,0.048219,-0.000434,1.557B,"78,936",1.557B
Aptos USD,7.0076,-0.0574,1.508B,74.754M,1.508B
Cronos USD,0.057747,0.000066,1.459B,7.66M,1.459B
Arbitrum USD,1.1256,-0.0073,1.435B,115.16M,1.435B
VeChain USD,0.01907,0.000063,1.387B,30.004M,1.387B
NEAR Protocol USD,1.3375,-0.017,1.246B,39.226M,1.246B
Quant USD,101.31,-0.63,1.223B,12.027M,1.223B
Aave USD,75.6,-1.05,1.094B,84.932M,1.094B
The Graph USD,0.117839,0.001592,1.069B,30.365M,1.069B
Frax USD,0.998557,-0.000537,1.003B,4.93M,1.003B
Stacks USD,0.672354,-0.014466,935.348M,66.517M,935.348M
MultiversX USD,35.02,-0.65,899.766M,10.466M,899.766M
BitDAO USD,0.481785,0.018029,888.252M,18.667M,888.252M
Maker USD,887.15,-28.44,867.303M,45.186M,867.303M
Optimism USD,1.2558,0.0071,809.496M,77.709M,809.496M
Algorand USD,0.105186,-0.004706,808.083M,48.026M,808.083M
Wrapped EOS USD,0.732731,-0.007305,803.552M,365,803.552M
Tezos USD,0.850401,0.014134,803.561M,16.113M,803.561M
Fantom USD,0.283848,0.006337,794.492M,74.377M,794.492M
The Sandbox USD,0.424786,-0.005093,794.235M,44.477M,794.235M
EOS USD,0.724104,-0.014593,794.091M,90.384M,794.091M
Theta Network USD,0.781361,0.014309,781.361M,15.624M,781.361M
Bitcoin SV USD,39.65,-0.77,763.991M,34.834M,763.991M
Decentraland USD,0.395098,-0.001884,747.958M,34.931M,747.958M
USDD USD,0.997915,-0.0013,737.44M,15.973M,737.44M
Axie Infinity USD,6.1463,0.1396,733.161M,37.888M,733.161M
Render Token USD,1.9739,-0.0363,728.08M,30.993M,728.08M
Immutable USD,0.695498,-0.005033,723.586M,9.68M,723.586M
Rocket Pool USD,35.81,-0.39,699.99M,3.969M,699.99M
Curve DAO Token USD,0.793479,-0.006513,689.232M,25.157M,689.232M
ApeCoin USD,1.8665,-0.0381,687.984M,55.126M,687.984M
Bitget Token USD,0.475287,0.001099,665.402M,9.98M,665.402M
Injective USD,8.0407,-0.2049,643.301M,35.411M,643.301M
Neo USD,9.11,-0.0006,642.607M,28.145M,642.607M
eCash USD,0.000033,-0.000001,639.47M,40.026M,639.47M
TNC Coin USD,0.107453,0.000556,628.729M,"59,019",628.729M
Pax Dollar USD,0.994574,-0.002644,613.208M,1.321M,613.208M
Conflux USD,0.19612,-0.007537,602.099M,80.553M,602.099M
Flow USD,0.5812,-0.014043,602.239M,26.514M,602.239M
KuCoin Token USD,6.0968,-0.1029,590.139M,1.287M,590.139M
Kava USD,0.933379,-0.122003,584.271M,44.244M,584.271M
Pepe USD,0.00000149,-0.00000006,583.337M,85.866M,583.337M
Radix USD,0.05676,-0.000238,579.592M,3.13M,579.592M
Wrapped BNB USD,245.52,-2.47,564.636M,68.736M,564.636M
Gemini Dollar USD,0.99023,-0.002385,558.914M,1.038M,558.914M
Synthetix USD,2.0608,0.0031,550.333M,23.383M,550.333M
Chiliz USD,0.077198,-0.000827,543.45M,20.764M,543.45M
Compound USD,69.83,2.57,541.699M,151.784M,541.699M
Kaspa USD,0.027049,0.001736,530.518M,15.113M,530.518M
FTX Token USD,1.5948,-0.0935,524.509M,40.373M,524.509M
Gala USD,0.024236,-0.000504,524.087M,39.702M,524.087M
Klaytn USD,0.16551,-0.000338,520.529M,7.824M,520.529M
IOTA USD,0.182224,0.000029,506.497M,8.594M,506.497M
GMX USD,56.09,0.11,497.367M,8.404M,497.367M
PAX Gold USD,"1,946.80",19.91,491.996M,10.478M,491.996M
Zcash USD,30.12,0.58,491.868M,20.788M,491.868M
Terra Classic USD,0.000084,0.000001,490.134M,22.656M,490.134M
Tether Gold USD,"1,952.61",10.53,481.366M,6.296M,481.366M
BitTorrent USD,0.000465,-0.000004,460.626M,79,460.626M
Frax Share USD,6.2682,-0.0591,456.85M,15.343M,456.85M
Huobi Token USD,2.7439,0.0119,445.159M,10.823M,445.159M
BitTorrent(New) USD,0.00000047,-0.00000001,443.007M,12.053M,443.007M
XDC Network USD,0.031848,-0.000016,441.077M,1.568M,441.077M
Sui USD,0.656849,-0.022065,429.938M,62.712M,429.938M
Mina USD,0.453289,-0.000006,422.949M,11.165M,422.949M
